parents_count	thing_to
1	/thing:15786
1	/thing:15788
1	/thing:15790
1	/thing:15802
1	/thing:15812
1	/thing:15820
1	/thing:15828
1	/thing:15835
1	/thing:15844
1	/thing:15846
1	/thing:15881
1	/thing:15888
1	/thing:15898
1	/thing:15910
1	/thing:15933
1	/thing:15937
1	/thing:15941
1	/thing:1595
1	/thing:15963
1	/thing:16001
1	/thing:16016
1	/thing:1604
1	/thing:16045
1	/thing:16046
1	/thing:16055
1	/thing:16060
1	/thing:16061
1	/thing:16063
1	/thing:16068
1	/thing:16071
1	/thing:16084
1	/thing:16085
1	/thing:16092
1	/thing:16095
1	/thing:16130
1	/thing:16136
1	/thing:1614
1	/thing:16145
1	/thing:16161
1	/thing:16170
1	/thing:16172
1	/thing:16181
1	/thing:16184
1	/thing:16187
1	/thing:16196
1	/thing:16206
1	/thing:16210
1	/thing:16213
1	/thing:16218
1	/thing:1622
1	/thing:16223
1	/thing:16225
1	/thing:16228
1	/thing:16229
1	/thing:16236
1	/thing:16242
1	/thing:16245
1	/thing:16261
1	/thing:16263
1	/thing:16270
1	/thing:16274
1	/thing:16289
1	/thing:16291
1	/thing:16295
1	/thing:16299
1	/thing:16307
1	/thing:16309
1	/thing:16310
1	/thing:16317
1	/thing:16320
1	/thing:16338
1	/thing:16339
1	/thing:16340
1	/thing:16348
1	/thing:1635
1	/thing:16355
1	/thing:16357
1	/thing:1636
1	/thing:16367
1	/thing:1637
1	/thing:16380
1	/thing:16381
1	/thing:16382
1	/thing:16383
1	/thing:16395
1	/thing:16397
1	/thing:1640
1	/thing:16405
1	/thing:16413
1	/thing:16424
1	/thing:16431
1	/thing:16442
1	/thing:1645
1	/thing:16450
1	/thing:16464
1	/thing:16469
1	/thing:16481
1	/thing:16490
1	/thing:16504
1	/thing:16514
1	/thing:16527
1	/thing:16530
1	/thing:16536
1	/thing:16539
1	/thing:16559
1	/thing:16562
1	/thing:16569
1	/thing:16586
1	/thing:16589
1	/thing:16593
